,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field
312,http://orkg.org/orkg/resource/R598539,9,9,22,55,13,0,0,Computer and Systems Architecture
313,http://orkg.org/orkg/resource/R598581,7,7,35,51,11,0,0,Computer and Systems Architecture
314,http://orkg.org/orkg/resource/R598764,10,10,44,42,8,0,0,Computer and Systems Architecture
315,http://orkg.org/orkg/resource/R599045,5,5,30,4,10,0,0,Computer and Systems Architecture
316,http://orkg.org/orkg/resource/R599058,5,5,30,4,10,0,0,Computer and Systems Architecture
317,http://orkg.org/orkg/resource/R599059,5,5,30,4,10,0,0,Computer and Systems Architecture
318,http://orkg.org/orkg/resource/R599060,5,5,30,4,10,0,0,Computer and Systems Architecture
319,http://orkg.org/orkg/resource/R599176,11,11,12,236,22,0,0,Ocean Engineering
320,http://orkg.org/orkg/resource/R599180,10,10,78,165,29,0,0,Computers and Society
321,http://orkg.org/orkg/resource/R68121,1,26,77,199,7,0,0,Earth Sciences
322,http://orkg.org/orkg/resource/R68535,2,32,95,246,7,1,2,Earth Sciences
323,http://orkg.org/orkg/resource/R69680,53,53,99,220,13,0,0,Artificial Intelligence
324,http://orkg.org/orkg/resource/R70212,1,7,23,75,20,0,0,Computer and Systems Architecture
325,http://orkg.org/orkg/resource/R73210,4,4,26,26,18,0,0,Information Science
326,http://orkg.org/orkg/resource/R74529,3,3,6,18,7,0,0,Software Engineering
327,http://orkg.org/orkg/resource/R74541,4,4,15,7,10,0,0,Artificial Intelligence
328,http://orkg.org/orkg/resource/R74774,1,7,94,202,47,0,0,Artificial Intelligence
329,http://orkg.org/orkg/resource/R75093,2,2,5,7,5,0,0,Computational Engineering
330,http://orkg.org/orkg/resource/R75140,3,3,22,1,6,0,0,Thermodynamics
331,http://orkg.org/orkg/resource/R75439,4,4,7,0,2,0,0,Software Engineering
332,http://orkg.org/orkg/resource/R75673,6,6,38,3,8,0,0,Neuroscience and Neurobiology
333,http://orkg.org/orkg/resource/R75729,6,6,37,2,8,0,0,Neuroscience and Neurobiology
334,http://orkg.org/orkg/resource/R76052,1,4,18,12,8,0,0,Artificial Intelligence
335,http://orkg.org/orkg/resource/R76054,1,4,18,12,7,0,0,Artificial Intelligence
336,http://orkg.org/orkg/resource/R76129,1,9,35,9,5,0,0,Artificial Intelligence
337,http://orkg.org/orkg/resource/R76284,1,12,36,11,7,0,0,Artificial Intelligence
338,http://orkg.org/orkg/resource/R76297,5,5,27,49,23,0,0,Environmental Health
339,http://orkg.org/orkg/resource/R76324,1,12,37,12,6,0,0,Artificial Intelligence
340,http://orkg.org/orkg/resource/R76783,12,12,27,44,5,0,0,"Theory, Knowledge and Science"
341,http://orkg.org/orkg/resource/R76785,12,12,27,44,5,0,0,"Theory, Knowledge and Science"
342,http://orkg.org/orkg/resource/R76906,8,8,85,6,9,0,0,Social and Behavioral Sciences
343,http://orkg.org/orkg/resource/R78163,14,14,18,84,8,0,0,Life Sciences
344,http://orkg.org/orkg/resource/R78454,3,3,7,19,7,0,0,Growth and Development
345,http://orkg.org/orkg/resource/R8342,8,12,81,98,29,0,0,
346,http://orkg.org/orkg/resource/R8364,5,5,61,84,39,0,0,
