Nr.,Comment in English,Spam / Ham,Polarity,Feature Request,Problem Report,Safety,Efficiency
1046,"It looks great but there is one major safety flaw. Once the car is lowered, it leaves behind very deep hole that pedestrians
 and other vehicles can fall into, especially at night. There must be a better safety mechanism to cover the empty hole once the car is lowered.",ham,positive,,x,x,
1051,"Why would you put a car in top of a self driving platform instead of making the car self driving in the first place?
 Also, the hyperloop would be more than enough for rapid underground transportation, there's no need for cars as well.",ham,neutral,x,x,,
1052,"All this is doing is prolonging the position of the car as the predominant mode of transportation. Maybe for LA this system will work, but most other cities in the US would do better to build public transit combined with a park-and-ride system.",ham,neutral,x,x,,
1053,But then everybody waits in line to get on the tunnel thingy........... and that causes traffic.........,ham,neutral,,,,x
1055,Why not just make drivable tunnels ?,ham,neutral,,,,
1065,"did you see the pedestrian fall down the hole, maybe the homeless people that get hit by the cars in the tunnels,
 feels like a crazy billionaires fantasy.  seriously just who will pay for this?",ham,neutral,,x,x,
1067,Will the this only work with Tesla automobiles,ham,neutral,,,,
1077,"How do you maintain or expand this infrastructure? digging so many tunnels as if these underground bridges are internal. 
And where is the Hyperloop?",ham,neutral,,,,
1086,"I just want to know what happens when there is a backlog of people behind those who want to get into the boring company tunnels? 
 It looks like there needs to be a station or at least some space for a line.  Don't get me wrong, I love this idea.  It's just either the system needs to be really quick or these elevators need to be everywhere.",ham,neutral,x,,,
1099,What about more subways ans some ebikes? U dont need ur Car everywhere,ham,neutral,x,,,
1100,"I wonder how many cars and how much traffic will be backed up waiting to get onto one of those silly elevators? 
 They have wonderful tunnels in cities like London and New York that move people around.  It's called the subway.",ham,neutral,,,,x
1101,"Dumb. What if someone crashes into that or how is that even going to work? Probably some kind of future public transpo
 in the works because they dont even want us driving our own motor vehicles. This is a horrible idea.",ham,negative,,,x,
1104,hope it doesnt flood or smell like shit,ham,neutral,,,x,
1112,"driving in nyc, whole new lanes (and roads) needed to deal with the 'elevator' spaces needed to get to the tunnels...
 which must be much deeper than subways even or you have tremendous structural problems with not only the weight of skyscrapers above, but subway tunnels, sewers piping, internet, gas, electric infrastructure, and people (not an unsubstantial weight, considering rush hour, buses, cars). Now build some elevators exactly matching up with street level going down to your boing tunnels, and those tunnels may not cause any higher structure to falter... and the elevators and lanes you want to co-opt can't cause traffic issues. this is still a pipe dream. the only way this can work is when a new city is expanding, and doesn't have the whole pop density/infrastructure density that la, chicago, ny has. they should be trying in this in smaller up and coming cities with higher elevation and nowhere near fault lines.",ham,neutral,,x,,
1115,will other cars than just teslas be allowed in the tunnel,ham,neutral,,,,
1117,"It’s a really cool idea but digging that much earth up for a one lane tunnel would be expensive
 but maybe less expensive than the hyper loop concept",ham,neutral,,,,x
1118,What if one gets stuck? Or there's​ an accident?,ham,neutral,,,x,
1121,If earth quake comes then,ham,neutral,,,x,
1142,once there's an accident then how,ham,neutral,,,x,
1143,Okay let's say there's a car crash a malfunction in the system how in the world are the Medics supposed to get in there,ham,neutral,,,x,
1149,"Cool. What's not illustrated are the huge long lineups of L.A. cars, waiting for one of those pods to be available!",ham,neutral,,x,,
1151,Imagine you accidentally parked on the same spot the red car was stopped on 0:12...,ham,neutral,,,,
1154,"This makes self driving cars kind of redundent. Beside, it'll only be used within cities, and very few are as big as LA, NYC, CD de MX, ect,
 not to mention that over half of all megacities are to poor. And the few wealthies will be the only one to use it.",ham,neutral,,,,x
1164,"The cost of building these tunnels I can't even imagine plus under a city... A very old one with utilities and old pipes will be a nightmare
. I would love to see it being built first then a city built after.",ham,neutral,,,,x
1166,crap ! cost and can you imagine the hole if another car is coming during the lift ?,ham,neutral,,,x,x
1169,Yeah...leave a huge gap in the road before a platform lifts up. I'm sure nobody will fall in that hole...,ham,neutral,,x,x,
1170,I hope Tesla’s get discounts to ride this,ham,neutral,x,,,
1172,An earthquake would be... just... horrible,ham,negative,,,x,
1178,"This idea seems kinda far fetched.  But I feel like this could be a way to have a parking service underground
 and have it be like a valet.",ham,neutral,x,,,
1179,"Horrible idea. Those would become so congested so quick, plus mechanical failures 👎",ham,negative,,x,,
1180,I feel like waiting for someone to get up will be longer that drive-in go your destination,ham,neutral,,x,,x
1181,"More cars cannot be our future. Fast efficient affordable modern mass transport, tho not as fun, is needed.",ham,negative,x,,,
1190,But does it wifi?,ham,neutral,,,,
1191,You guys are all asking about earthquakes but no one says subways won’t work because of earthquakes,ham,neutral,,,,
1202,"Wait, what about all the water, sewage and other pipes underneath the city?",ham,neutral,,x,,
1208,"I a bit don't understand, this will be public transport or private underground roads for cars?",ham,neutral,,,,
1228,Everything’s fun and games until the power goes out,ham,neutral,,,,
1229,only for tesla users?,ham,neutral,,,,
1237,Hơw is this gonna know if it’s a tesla?,ham,neutral,,,,
1238,Free service?,ham,neutral,,,,
1248,what happens if your car battery dies or something when you`re back up? Will it keep sending you on trips?,ham,neutral,,,x,
1253,It’s tooooo expensive to build the tunnels better make flying cars so at least u don’t have to build tunnels,ham,neutral,x,,,x
1257,"But then what's gonna happen to all this flow of cars that end up in the city?
 There would be heavy traffic in the tunnels and inside the city where the tunnels' entrances and exits are. But it would lower the pollution problem. Why not automate the whole thing? People come park their cars and then use the system..",ham,neutral,x,x,,
1264,underground jams in the future,ham,neutral,,,,
1268,only Tesla cars are allowed to use it?,ham,neutral,,,,
1271,won't the tunnels just get clogged with traffic just like the ground roads,ham,neutral,,,,
1275,"What happen when one miscreant step out from conveyor pod to the spooky tunnel. 
All of a sudden a huge congestion of upcoming pods happen.",ham,neutral,,x,x,
1279,"Nice concept .. but the car goes down to tunnel - and then leaves a giant hole in the road for a random moron to drive
 (or step) into.. might consider some perfection ..",ham,neutral,,x,x,
1280,"Frank Robinson intended the R22 helicopter to be a traffic-avoiding/alleviating city commuter with people flying themselves to and from work in the cities. It didn't quite realize because of cost. Average people couldn't afford it.How about redesigning public transport into and out of cities? Something like pre-fab railway lines that are easy to maintain, and can be moved depending on need (like once a year or so, not every day, if needed).Or 'trains' that don't require tracks... basically long buses that can peel off individually into neighborhoods to pick up passengers and then link up on the outskirts, and head into the CBD as a train-unit? Special bus lanes at certain times and autonomous buses can keep a schedule precises and cost down.",ham,neutral,x,,,x
1284,"So...... A train line, but for your car. U are a great inventor but dude, this is what trains are for. If u wanna stop traffic,
 then build over roads and make people bike or walk everywhere. Fill up the roads with a path and destroy cars. Simple. Use trains for longer journeys and for short ones, walk or cycle or whatever.",ham,neutral,x,,,
1286,"Why necessarily underground.. It seems to me it can be really helpfull on existing roads. Referring  to European main highway. Besides that, going 200km/h in a narrow tunnel scares the s... outta of me",ham,neutral,x,,,
1287,How do you know where it's takeing u? Do you have to drive to a certain station to go to the place you want?,ham,neutral,,,,
1288,"Yeah sure, and in the mean time we're held up because of road works and tunnel construction activities",ham,neutral,,x,,
1289,"As mentioned on other social media it may be a good idea to look into muti level above ground tunnels, 
although affected more by the weather eliments would be easier to maintain and possibly much safer in the event of an earthquake or flooding",ham,neutral,x,x,x,x
1290,Wait lines to get into the tunnel?,ham,neutral,,x,,
1311,What happen when a terrorist blow  them self up with oncoming traffic at 150 mph deep underground.,ham,negative,,,x,
1319,"If the car get trapped in elevator ? like shit bruh ...
Subway ?!! Anyone xD",ham,negative,,x,x,
1333,okay but where does it take you?? how do you control where it takes you??,ham,neutral,,,,
1336,"Tunnels cost much more than overground tubes. Thus, tunnels have been built when there was no other option,  and then these subways are used to the max. Tokoyo subways actually have white-gloved workers who push people into the cars. 
The people density of this system seems rather low. Whatever is spent has to be recouped by ridership, and a one-person car per pod doesn't seem like it will yield enough.",ham,neutral,,x,,x
1339,what about earthquake prone areas? like wtf,ham,negative,,x,x,
1343,"So there will be traffic jams of waiting cars instead. They will be all trying to push in to get on one of the ramps!
Or there will be some idiot that tries to drive an over sized semi trailer onto it, Just like you see now when they try and go under a train bridge and get stuck.
What happens if there is a terrorist bomb or massive earthquake and everyone is stuck under there?
Will we even need any of this, In a few decades there won't be any jobs to go to so you won't need a car.
Mind you I'd rather them going under the road, Than having flying cars crashing into my house. So I'll shut up and let them continue tunneling!   ;)",ham,neutral,,x,x,
1347,How does the skates know where the drivers want to go tho?,ham,neutral,,,,
1350,"Imagine all these earthquakes...
And the cost...
And the awesome GTA-ish gateway from police :D",ham,neutral,,x,x,
1352,"I hope it occurred to Tesla that if you put the sled system above ground with a designated highway lane, you could skip right past self driving cars. 
This could 1. Alleviate a lot of congestion 2. Provide great public transport 3. Save taxpayers money as it would be pay to play. Tunnels can always be welcome addition after the initial program..",ham,neutral,x,,,
1355,"This is a cool idea but it looks like at 0:14 when the car descends, it leaves a dangerous hole in the road>",ham,neutral,,x,x,
1357,It's all fun and games until an earthquake happens,ham,neutral,,,x,
1358,what if earthquake comes what will happen to the tunnels?,ham,neutral,,,x,
1360,"Elon.. soon we will have 100% autonomous cars, why create tunnels underground which are f...ing expensive to make the car to go only to 200km/h?
 it s easier to create new roads ONLY for autonomous cars and make those cars to go at very high speed, no risk of accidents since those special roads are only for autonomous cars...",ham,negative,x,,,x
1361,are these tunnels water and earth quake proved?,ham,neutral,,,x,
1362,"Good idea, but knowing how many pipes,subways and sewers are under NY+ the practical problem that suposses I think that this idea rather be left as a concept since its destined to fail by the many problems that have to be solved.3/10",ham,neutral,,x,,
1365,So how much time does it take to lift down 100 cars? 200? Does Musk invented new super fast tunnel building?,ham,neutral,,,,x
1367,But what if you open the door while going? There are too many risks...,ham,negative,,x,x,
1369,what if it snows..   will they still pile up the snow on the side streets or nah,ham,neutral,,x,,
1372,"One might flaw besides the cost THE SPEED I know it said 124 mph but I'm  not talking about that I'm talking about how much people can 
use it you could of been sitting in a waiting spot for an hour until someone comes up and they could at least hold more cars and move faster and seriously why put Teslas in this video Teslas suck and stupid and are a waste of money",ham,negative,,x,,x
1376,So what will happen to the city's subway system?,ham,neutral,,,,
1377,"if everybody starts using this then there would be long waitings to get to that hole platform like at 0:56 the black car waiting for the red one to go.
 It is good if only half or few people use this and others use roads.",ham,neutral,,x,,x
1382,If you're stuck for any reasons down there.  it will be a fun wait!?,ham,neutral,,x,,
1384,Safety? So another car doesn't fall on yours while its riding the elevator?,ham,neutral,,x,x,
1385,And how about public transportation? I can see only Teslas? what if I can't afford one?,ham,neutral,,x,,
1386,"This will need some safety system in place, to make sure that the descending wagon is enclosed so that no people or animals or
 unwanted things, end up loose on it while speeding.",ham,neutral,,x,x,
1389,what happens if someone accidentally falls over?,ham,negative,,,x,
1392,I would like to see the safety measures that would be in place in case of an earthquake.,ham,positive,,,x,
1396,"So, why were all those other cars sitting there in a traffic jam? Wouldn't everyone be lining up to use the tunnel? 
Also, It looks like it would take at least a minute for the ramp to lower all the way down and all the way up. That's like a stop light that stops every single car for a minute. There's no way there wouldn't be a long line at every access point. ""Takes you there in 5 minutes! But you have to wait in line first for 2 hours."" It's like a ride at Disney World.",ham,neutral,,,,x
1403,But can I still get a signal in those tunnels?,ham,neutral,,,,
1407,"You do not need a tunnel for 125 mph, i can do that every day on the freeway. Why build a tunnel for that ?",ham,negative,,x,,
1408,"wont that just move the current traffic jam problems   just to the front of those tunnel elevators ? 
 hence we're still having traffic jams,   just not  on traffic lights but  on elevators...",ham,neutral,,x,,
1410,"OK, so a massive hole appears in the road when the car descends... what could possibly go wrong? Imagine a cyclist or
 pedestrian slamming onto the car's roof at about 20s...",ham,negative,,x,x,
1414,stupid idea.  The congestion at the elevator is gonna be crazy,ham,negative,,x,,
1455,Are the tunnels just for tesla cars only,ham,neutral,,,,
1465,"The idea is good, but the implementation is the question: will the construction take long, how do they think to do it,
 how deep do they want to dig tunnels?",ham,neutral,,,,x
1476,"Cool, but this would be insanely expensive to build.  And one malfunction in a lane 
and everything comes to a screeching halt.",ham,neutral,,,,x
1482,"What about a space for an elevator on the street level, who owns it, who pays for it ? Price for this kind of space may be higher than for tunnel itself. I see wealthy investors that are in hurry and need this kind of ""connection"" , maybe somwhere in the underground garage? Then they want some bucks for every customer that will use it (and becouse of it, it will be quite expensive). And what about the other side, there will be heavy traffic around this hole (in a suburb area ?) Does every hole connects to every other ? It seems that elevator part can be costly (for safety alone). What about collision-free conjunctions? It has to be made by damn-good AI, real web of tunnels, and managed by it too. And no combustion-engine cars allowed, and no hazardous cargo. And what abaut malfunctions of a cart (Murphy's law says there will be truble). Very bold and necessary (for Mars missions and for Hyperloop), but very gimmicky. It seems to me that in era of ubiquitous drones, ""flying cars"" have greater chance for succes (despite that every one of them has to land, but some of them will land in emergency mode :) This project in my eyes is far harder than sending a rocket to Mars, because rocket have to fight with gravity, and tunnels have to fight with reluctance.",ham,negative,x,x,x,x
1484,So those would leave a car size hole in the steet when it goes down... nothing can go wrong.,ham,neutral,,x,x,
1488,Curious. Is there a risk to destabilizing the land from all the underground drilling?,ham,neutral,,,,
1490,"I don't like the idea of e.g. a car fire underground. My guess is to many things can go wrong, as with all systems,
 but the thought of being unreachable for minutes or hours kind off scares me..",ham,negative,,,x,
1494,This would probably only create more traffic. Why not just build a subway? You can pack more people onto it and you don't have to bring your car with you.This is just a congested freeway for the rich,ham,neutral,x,x,,x
1503,why not more interconnected subways? won't that be more efficient? I feel this is going to be a waste.,ham,neutral,x,,,x
1504,What about traffic waiting to use the tunnel?,ham,neutral,,x,,x
1512,"I love Elon Musk, and I think he's a visionary and certainly a guy who will change our planet.  However, I am NOT a fan of this idea.I think there's just WAY to many uncontrollable variables.  Tunnels underground, holding thousands (millions?) of commuters.  Fine, if the system is working.  But it only takes one problem... a break down, an earthquake, a terrorist attack, to bring the ENTIRE system to its knees, effectively stranding thousands (millions?) of people in underground tunnels.  The cost of boring tunnels can be lessened, but the cost of providing infrastructure (Lights, air, emergency exits, emergency rations?, communications?)... it all just defies logic, and I think the whole thing sounds WAY more expensive and impractical than developing an above ground solution. A single explosion in a deep tunnel could undermine the stability of all the tunnels above it...  I think there are way too many radicals would would LOVE to use this kind of technology against itself.",ham,neutral,,,x,x
1513,And there will be traffic jams to the elevators like on ferry crossings :),ham,neutral,,x,,
1517,What about long cars?,ham,neutral,,x,,
1521,wouldn't earthquakes leave cracks on these structures making it possible for a collapse but the idea is a traffic solver,ham,neutral,,x,x,
1526,"Wouldn't this just create more traffic? All them cars queuing up to use these tunnels will create a bigger issue.
 I think it's an interesting concept but I just don't think it'll work in its current format",ham,negative,,x,,x
1527,"Nice. But out of curiosity, why build the whole infrastructure for the sleds and rails, it will add billions.
 Just have cars enter the tunnel then mandate them to turn on their autopilot which then syncs with the the tunnel system. This accomplishes the same controlled, high speed effect. The only difference is it might be limiting in speed slightly but the infrastructure cost may make this worth it.",ham,neutral,x,,,x
1532,"And what happens when the cradle lowers leaving a giant 70 feet hole in the ground for other cars to drive into and fall straight on  your head? accidents do happen. How many cradles will be on standby if any while each takes to you from source to destination how will they get back to source you can‘t have an open hole in the ground, you“d need as many cradles as there are cars, what if there are more cars than cradles you‘d have queues and backlog causing traffic jams these tunnels have only 2 tracks. How many entrances do they plan to have in between routes, taking up permanent valuable street real estate. Looks like cool marketing, fire up the imagination just like Amazon drone deliveries but I doubt very much that it‘ll happen the way it appears here.  Imagine the cost, it‘ll surely be toll based.",ham,negative,,x,x,x
1539,"0:04  and 0:45 No one is talking about cabinet traveling, not just car! So that mean you don't need car, just pick this cabinet an it will travel you underground with 200 km/h / 124 miles. Also instead ofer taxi (including self driving uber), you call this thing and travel with 200 km/h and 100% safe",ham,neutral,x,,,
1543,"Its one of those horizontal escalators but for my car... a transport for my transport.
 Seems like a redundant solution to transportation.",ham,neutral,,x,,
1544,"this is great... traffic won't be people trying to get into the highway, it'll be people clogging up the street waiting to go into one of these... and when a car descends is there just a giant car size hole until another platform ascends?",ham,neutral,,,,
1550,"I like Elon, and I think Hyperloop is great when it'll be doable, but for once I think this project is a stupid waste. Unless the point is to deliver an incredibly efficient, fast AND secure/stable way of building sustainable tunnels, which could be used for anything from new metro-pods lines and trains, to under-the-hills or mountain tunnels...But I think cars have nothing to do driving in a city in the future. There's foldable electric bikes or boards, future automated public transportation pods, and why not automated underground cars tunnels for very long, in-out the city travels, but not ""circulation"" or traffic.",ham,neutral,,x,,x
1552,Look at 0:45 ... Nothing covers the hole when the elevator goes down,ham,neutral,,x,x,
1554,"I feel like the new problem would be super long lines to get down unless it's a rapid fire conveyer belt 
or something. Also, how does it know when you want to stop?",ham,neutral,,x,,x
1555,"Based on the concept shown in the video. I seeProblem 1: You wait 2hrs on a very 
very long queue before it gets to your turn to board the tunnel platform... Problem 2: You wait 45 mins for your turn to exit the tunnel.Solution: Instead of loading vehicles on platforms, why don't you allow vehicle to be attached to the rail. Then the rail zaps them to their destination. But the cars still run on their regular tyres. Just that they don't control their speed and turns.Futuristic Solution: Electric car enters tunnel, controls get overridden, car speed set to Xkm/hr. So it's like a speed lane where all cars move at a constant set speedICE cars get latched to the rail. EVs get command to set speed to that of the tunnel. Problem solved",ham,neutral,x,x,,x
1557,This idea while nice to think about is just not happening anytime soon... who will pay for the underground city wide roads... who will maintain the underground roads when we dont even maintain our subway systems or even our above ground roads as well... i get it forward thinking and i'm all for it but lets be real and not anchor ourselves in dreams...,ham,negative,,,,x
1560,"I think this would be better off if the entry point wasn't a thousand parking space sized elevators scattered everywhere and
 cars pulled onto wider sleds with multiple slots at specific areas of the city. I mean if the subway was just a bunch of benchs that transported two people at once it would be chaotic and very dangerous in the tunnel especially if something went. There would just be too much engineering involved, and end up being very expensive and too extension too manage. If there were lots of areas (but not nearly as many that the parking spot sized elevator would require) basically just the size of a medium sized parking lot where cars can get in line and pull into a slot on a sled and then take off together, maybe 5 per sled, I think it could work better. It would also would most likely be more cost efficient..",ham,positive,x,x,,x
1569,"What if there is a power outage or a similar power management problem and you become trapped in the middle of a dark 100 mile long tunnel 
with no cell phone service and your car is trapped on the moving platform?",ham,negative,,x,x,
1574,With no guard rail or sign that pops up I guarantee someone is gonna drive into that hole in the ground,ham,neutral,,,x,
1588,"My only concern is ground water leakage, other than that this concept looks awesome!",ham,positive,,x,,
1593,"OH because single  railing systems  dont fail ever, not to mention the hazards and suicide rates xD
how about a  better public transport instead of cars for everyone?",ham,negative,,x,x,
1596,"It's a concept video, but it's interesting that they left a pretty large problem in the video. When a car enters the system,
 they don't demonstrate how they will cover the hole they created. This brings up the question of how many cars will fall in by accident.",ham,neutral,,x,x,
1597,"probably will cause major traffic jams, waiting for someone to go up so you can go down in one of those.",ham,neutral,,x,,
1608,"Much more social good would be done by expanding networks of tunnels used
 for public transit than reserving it for private vehicles.",ham,neutral,x,x,,
1612,Good idea but traffic would remain due to the loading and unloading taking so long,ham,neutral,,x,,x
1613,And what if an earth quake happens?,ham,neutral,,,x,
1619,"this video does not consider the fact that you cant just put a whole transit system underneath a fucking city so easily or anywhere for that matter due to the buildings transfering loads everywhere and the fact you can displace their footing systems very easily.

This will never happen. A tunnel is difficult enough as it is without damaging existing buildings load systems.",ham,negative,,x,,
1622,wouldn't want to have a malfunction going that fast....,ham,neutral,,,x,
1629,"Those kinds of tunnels must be pricey to build and take care of. When the car goes down will there just be a hole in 
the ground that someone can accidentally drive in? Would this be eco-friendly? If there was to be an accident underground how would it be treated? I could imagine many mechanical failures and such. Is the problem that this system is trying to prevent a big problem, and would the system solve the problem? I want facts!!!",ham,neutral,,x,x,x
1630,"May I point out a problem: When the lift is going down, there is a big hole in the street. Perhaps adding an additional enclosure might be advisable.
'welcome. Royalties to me.",ham,neutral,x,x,,
1631,And what if it charged the car on the way?,ham,neutral,,,,
1634,This is so absurd... Public transport is the only affordable solution. This is way too expensive to put in place and to maintain.,ham,negative,x,,,x
1638,"If this system works like the video, you need one lane dedicated for this system in the major locations of the city. 
 Not only you take away a lane, there is gonna be cars switching lanes, merging in and out to the system. How is that gonna resolve the situation?",ham,neutral,,x,,x
1645,so the solution to the traffic problem is to build more roads? what happens to public transportation?,ham,neutral,,,,
1656,what is the point of this? just more parking space?,ham,neutral,,,,
1657,I assume only electric cars will be allowed?,ham,neutral,,,,
1658,everyone waiting in line for these tunnels is going to cause more traffic,ham,neutral,,x,,x
1659,There is going to be such a long line for that,ham,neutral,,,,x
1666,"This would be a waste of money, space, and effort that would be better spent on improving
 public transit. Like if you even had the money to do this why would you waste it on only transporting singular cars.",ham,negative,,,,x
1672,"do you people realize that there is ground underneath the sewers, subways, and basements?",ham,neutral,,,,
1675,"if the point of building this in downtown Los Angeles where the traffic is bad make it worse because
 if they build this its gonna close so many streets adding to the problem",ham,negative,,x,,
1676,"Until the lineup to take the ""fast tunnel"" takes 10x longer than the normal trip itself.",ham,neutral,,x,,x
1681,"Wouldn't subways be able to transport way more people? This only moves one car at a time. Digging tunnels is expensive, 
we wanna get the best bang for our buck.",ham,neutral,,x,,x
1687,Did soemone bring up earthquakes?,ham,neutral,,,x,
1691,how do they breath?,ham,neutral,,,,
1700,"So people will then have to wait in line on a busy traffic for the next elevator thingie. I don't see how this would alleviate traffic.
 What we need is better and more reliable and clean public transit. There are so many cars out there that are driven by one person clogging the streets. Perhaps we should stop trying to sell so many cars and put more emphasis on the bigger picture that helps the whole instead of the individual.",ham,negative,x,x,,
1707,"I am surprised that besides mentioning the obvious (that this project is absolutely absurd) no one mentioned the fact that in the video 
there is only one car waiting in line to go underground. In Los Angeles traffic jams start at the entrance of freeways, where a traffic light regulates when cars can enter at a 3 sec interval. Now factor in the 'elevator' time and you made traffic worse by a power of 10. Not too smart is it?",ham,negative,,x,,x
1710,"Yeah, but what happens when some idiot walks or drives into the big hole each car leaves when it drops into the ground? Also, what happens 
to people that try to drive off the ramp while it's speeding down the tunnel at 124 mph? How will emergency vehicles clear the scene? What about semi-trucks and large public transports like double-deck buses, will they be forced to travel slowly above ground? What about dummies that double park, won't collision detection stop the elevator from dropping due to their overlapping bumper? All this seems so silly. A drive-in subway tunnel seems like a better idea, but then there's the even bigger question for our largest cities... Where will I park when I get there? And where will I store my car when I'm at home? So, this video is a dumb idea, Elon seems smarter than this. A lot better idea would be the transportation tubes from Futurama. Every single building could have an elevator that shoots you underground then transports you directly to any other building in the city. A self-driving computer could easily prevent collisions and route the destination, plus no need to carry an entire vehicle with you everywhere you go. Cars are very cumbersome, a huge waste of space and energy to transport.  We should transport ""people"" not ""vehicles"" HELLO!!!",ham,neutral,x,x,x,
1717,"What happens if it gets stuck in the  tunnel and there is no reception under there? Do i have to live underground forever 
create a dystopian tunnel world where shoelace aglets are the currency",ham,neutral,,x,x,
1727,"Bullshit! Then why the car? Isn't it easier to put the car into the Parking lot and go down to the subway?
 Let the better thought of such Parking so as not to clog the streets, endless cars.",ham,negative,,x,,
1730,"This is cool, but it's nowhere as efficient as mass transit. I can already imagine street traffic being backed up
 from cars lining up to use it.",ham,neutral,,,,x
1738,"So why buy a $120k car? And now what will we wait in traffic jams to get on one of these silly elevators?
 Seems way more cost efficient to just build double decker highways in congested areas where the top level would only be for express lanes with exits every 5-10 miles instead",ham,neutral,x,x,,x
1756,What about the line for trying to go underground?,ham,neutral,,x,,
1757,"A big obstacle to this is that with interconnected, fully autonomous vehicles, traffic on the surface streets (in the autonomous lanes) will move at 100+ MPH with no accidents and vehicles just inches from each other. This will reduce traffic jams to mere memories. Those improvements are on the horizon and require almost no infrastructure spending when compared to those in this fantasy video.",ham,negative,x,x,,
1759,This such a futuristic idea! but I predict the lines for the lifts to be tremendous.,ham,neutral,,x,,x
1760,"Why use tires on the trolleys? It's just additional wear and tear, and unnecessary risk and maintenance,
 just make the trolley into ""hyperloop"" canisters or use one of the newly designed/discovered magnets to create a maglev system that doesn't need to be super cooled to operate; at which point the wheels can be used as a fail safe instead of a point of failure.",ham,neutral,,x,,
1778,im just sitting here thimking sink holes. earthquake. they forgot to put the car in park,ham,neutral,,x,x,
1781,"One little problem in those tunnels and it's gonna cause hell of a problem, like imagine all the cars being trapped down there.
 But certainly thinking outside the box.",ham,neutral,,x,x,
1785,"I expect better from Elon. You have a bunch of infrastructure under the surface. He wants to go deeper so imagine that elevator traveling down 10 stories for 1 car and back up again. The traffic caused waiting to get to an elevator would be ridiculous. You then have to build millions of car holders and somehow store them when they aren't in use, yet always have them available at the surface.
You have to make some sort of circular network to allow the carts to get back to the starting place.All while digging giant holes through thousands of miles of stone half a mile underground.
100 years to make. 1 crash and your dead and the track is jacked. 1 earthquake and the trillions it takes to make it are now a pile of dirt. Totally impractical.",ham,negative,x,x,,x
1788,"Mothernature would completely destory all those tunnels.  Earthquake, flood, and Fire",ham,neutral,,x,x,
1790,I've thought about this for a while now and the 1 thing I always end on is...WTH HAPPENS ON A EARTHQUAKE!?,ham,neutral,,,x,
1792,elon musk is looking at reality. people don't want the subway they want their own cars. so this is the fix for traffic,ham,neutral,,,,
1793,Nah bro this could be better for the world. Make an underground parking world. Parking on the streets is getting more difficult.,ham,neutral,x,,,
1812,One earthquake and we go back to driving on the roads again.,ham,neutral,,x,x,
1813,what if there's a earthquake?,ham,neutral,,,,
1817,"I really don't think many of Elon Musk's ideas are practical, including this one.
The notion of ""safety is the number one priority"" doesn't seem to concern him at all when it comes to innovative ideas.",ham,negative,,,x,
1822,"Damn, this looks cool. But, I would hate to be one of the first people who gets trapped in their car as one of these tunnels collapse 
due to an eathquake. Let's face it there's always one disaster.",ham,negative,,,x,
1824,"so what is to stop someone from driving off the pad while it is moving and what is to stop someone from driving into the hole 
that the pad descends . seems like there are some things that need addressing",ham,neutral,,x,x,
1829,carbon collectors in the ceiling would be cool,ham,neutral,x,,,
1833,This is practically impossible. Are you just going to cut the foundations of the buildings you're going under?,ham,negative,,,,
1838,Soooo what if there's an earthquake?,ham,positive,,,,
1843,"Sorry if this is a dumb question as I no prior knowledge to the subject, but wouldn't this increase the chance for earthquakes?",ham,neutral,,,x,
1844,Can we at least have lavatory facilities in the cars for people who don't own a car?,ham,neutral,,,,
1866,"Looks very expensive. Tunnels with magnetic walls with trains reverse magnetic outer shell would be better.
 Once it was built it would be low maintenance.",ham,neutral,x,,,x
1867,"If it were sky bridges and not tunnels I could see it actually happening. Cool idea and concept, just feel like it'd be cheaper 
to build a second tier of roads above than it would below. That's just my opinion though. Musk is a very innovative person so I'm sure he's already thought of sinkholes and such",ham,positive,x,,,x
1870,Lol imagine the line ups or the cost to build . not to mention some dumb ass tripping into the  hole,ham,neutral,,,x,x
1881,Yeah gl with the reparations/maintanence cost of all the tunnels when a simple earthquake happen.,ham,negative,,,,x
1883,One cali earthquake would kill thousands of people,ham,negative,,,x,
1886,And when someone tries to drive into the skate walls? Or move the car while underground?,ham,neutral,,,,
1892,"Alright, but what if I need an on-ramp with a service capacity of greater than 2 cars per minute? 
Then what infrastructure development company do I use?",ham,neutral,,x,,
1899,"you cannot do it in Turkey. it is too crowded and if they wait for tunnel, traffic sucks. if you think the projects
 for small towns that is okay.",ham,neutral,,x,,
1900,what if there's an earth quake?,ham,neutral,,,,
1903,*TAKES WRONG TUNNEL TO WORK* FUCK WHY CAN'T I TURN OFF HERE,ham,neutral,,x,,
1906,"Subways are far more efficient, and emit far less CO2 when taking into account the amount of people trains carry.
 This is stupid. We should be investing in optimizing and improving our subway systems. Just take a look at Japan or China.",ham,negative,,,,x
1907,that's really cool but wouldn't people fall down those holes?,ham,positive,,x,x,
1908,"so instead of using hydrogen fuel cells to extend the range if the tesla, hes going to use an extremley
 expensive and overly complicated railway system for cars?",ham,negative,x,,,x
1913,"This is a nightmare for car enthusiasts like me. 
1. Why would you buy a car and not drive it? 
2. It would take so much effort to build these tunnels.",ham,negative,,x,,
1923,"We got earthquakes here tho, how are they gonna work around that?",ham,neutral,,,x,
1926,I don't like the platform the car rides on what is the need for that? just let the cars drive themselves in the tunnels,ham,neutral,x,,,
1931,"Studies have already shown that if you build more streets, they will be also filled with traffic.
 This won't solve our traffic problems. A better public transportation system will.",ham,negative,,x,,
1941,So what happens if someone drives on top of the platform to go down while another car is going up,ham,neutral,,x,x,
